"feature_id"	"canonical_gene_id"	"annotation_gene_id"	"common_name"	"synonyms"	"description"	"display_label"	"search_tokens"
"LotjaGiC1v0010900"	"LotjaGiC1v0010900"					"LotjaGiC1v0010900"	"LotjaGiC1v0010900"
"LotjaGiC1v0011000"	"LotjaGiC1v0011000"					"LotjaGiC1v0011000"	"LotjaGiC1v0011000"
"LotjaGiC1v0011100"	"LotjaGiC1v0011100"					"LotjaGiC1v0011100"	"LotjaGiC1v0011100"
"LotjaGiC1v0011200"	"LotjaGiC1v0011200"					"LotjaGiC1v0011200"	"LotjaGiC1v0011200"
"LotjaGiC1v0011300"	"LotjaGiC1v0011300"					"LotjaGiC1v0011300"	"LotjaGiC1v0011300"
"LotjaGiC1v0011800"	"LotjaGiC1v0011800"					"LotjaGiC1v0011800"	"LotjaGiC1v0011800"
"LotjaGiC1v0013000"	"LotjaGiC1v0013000"					"LotjaGiC1v0013000"	"LotjaGiC1v0013000"
"LotjaGi0g1v0000100"	"LotjaGi0g1v0000100"					"LotjaGi0g1v0000100"	"LotjaGi0g1v0000100"
"LotjaGi0g1v0000200"	"LotjaGi0g1v0000200"					"LotjaGi0g1v0000200"	"LotjaGi0g1v0000200"
"LotjaGi0g1v0000300"	"LotjaGi0g1v0000300"					"LotjaGi0g1v0000300"	"LotjaGi0g1v0000300"
"LotjaGi0g1v0000400"	"LotjaGi0g1v0000400"					"LotjaGi0g1v0000400"	"LotjaGi0g1v0000400"
"LotjaGi0g1v0000500"	"LotjaGi0g1v0000500"					"LotjaGi0g1v0000500"	"LotjaGi0g1v0000500"
"LotjaGi0g1v0000700"	"LotjaGi0g1v0000700"					"LotjaGi0g1v0000700"	"LotjaGi0g1v0000700"
"LotjaGi0g1v0000800"	"LotjaGi0g1v0000800"					"LotjaGi0g1v0000800"	"LotjaGi0g1v0000800"
"LotjaGi0g1v0001100"	"LotjaGi0g1v0001100"					"LotjaGi0g1v0001100"	"LotjaGi0g1v0001100"
"LotjaGi0g1v0001200"	"LotjaGi0g1v0001200"					"LotjaGi0g1v0001200"	"LotjaGi0g1v0001200"
"LotjaGi0g1v0001500"	"LotjaGi0g1v0001500"					"LotjaGi0g1v0001500"	"LotjaGi0g1v0001500"
"LotjaGi0g1v0001800"	"LotjaGi0g1v0001800"					"LotjaGi0g1v0001800"	"LotjaGi0g1v0001800"
"LotjaGi0g1v0002000"	"LotjaGi0g1v0002000"					"LotjaGi0g1v0002000"	"LotjaGi0g1v0002000"
"LotjaGi0g1v0002100"	"LotjaGi0g1v0002100"					"LotjaGi0g1v0002100"	"LotjaGi0g1v0002100"
"LotjaGi0g1v0002200"	"LotjaGi0g1v0002200"					"LotjaGi0g1v0002200"	"LotjaGi0g1v0002200"
"LotjaGi0g1v0002250"	"LotjaGi0g1v0002250"					"LotjaGi0g1v0002250"	"LotjaGi0g1v0002250"
"LotjaGi0g1v0002300"	"LotjaGi0g1v0002300"					"LotjaGi0g1v0002300"	"LotjaGi0g1v0002300"
"LotjaGi0g1v0002400-LC"	"LotjaGi0g1v0002400-LC"					"LotjaGi0g1v0002400-LC"	"LotjaGi0g1v0002400-LC"
"LotjaGi1g1v0000100"	"LotjaGi1g1v0000100"					"LotjaGi1g1v0000100"	"LotjaGi1g1v0000100"
"LotjaGi1g1v0000200"	"LotjaGi1g1v0000200"					"LotjaGi1g1v0000200"	"LotjaGi1g1v0000200"
"LotjaGi1g1v0000300-LC"	"LotjaGi1g1v0000300-LC"					"LotjaGi1g1v0000300-LC"	"LotjaGi1g1v0000300-LC"
"LotjaGi1g1v0000400"	"LotjaGi1g1v0000400"					"LotjaGi1g1v0000400"	"LotjaGi1g1v0000400"
"LotjaGi1g1v0000500"	"LotjaGi1g1v0000500"					"LotjaGi1g1v0000500"	"LotjaGi1g1v0000500"
"LotjaGi1g1v0000600-LC"	"LotjaGi1g1v0000600-LC"					"LotjaGi1g1v0000600-LC"	"LotjaGi1g1v0000600-LC"
"LotjaGi1g1v0000700"	"LotjaGi1g1v0000700"					"LotjaGi1g1v0000700"	"LotjaGi1g1v0000700"
"LotjaGi1g1v0000800"	"LotjaGi1g1v0000800"					"LotjaGi1g1v0000800"	"LotjaGi1g1v0000800"
"LotjaGi1g1v0000900"	"LotjaGi1g1v0000900"					"LotjaGi1g1v0000900"	"LotjaGi1g1v0000900"
"LotjaGi1g1v0001000"	"LotjaGi1g1v0001000"					"LotjaGi1g1v0001000"	"LotjaGi1g1v0001000"
"LotjaGi1g1v0001100"	"LotjaGi1g1v0001100"					"LotjaGi1g1v0001100"	"LotjaGi1g1v0001100"
"LotjaGi1g1v0001200-LC"	"LotjaGi1g1v0001200-LC"					"LotjaGi1g1v0001200-LC"	"LotjaGi1g1v0001200-LC"
"LotjaGi1g1v0001300"	"LotjaGi1g1v0001300"					"LotjaGi1g1v0001300"	"LotjaGi1g1v0001300"
"LotjaGi1g1v0001400"	"LotjaGi1g1v0001400"					"LotjaGi1g1v0001400"	"LotjaGi1g1v0001400"
"LotjaGi1g1v0001500"	"LotjaGi1g1v0001500"					"LotjaGi1g1v0001500"	"LotjaGi1g1v0001500"
"LotjaGi1g1v0001600"	"LotjaGi1g1v0001600"					"LotjaGi1g1v0001600"	"LotjaGi1g1v0001600"
"LotjaGi1g1v0001700"	"LotjaGi1g1v0001700"					"LotjaGi1g1v0001700"	"LotjaGi1g1v0001700"
"LotjaGi1g1v0001800"	"LotjaGi1g1v0001800"					"LotjaGi1g1v0001800"	"LotjaGi1g1v0001800"
"LotjaGi1g1v0001900-LC"	"LotjaGi1g1v0001900-LC"					"LotjaGi1g1v0001900-LC"	"LotjaGi1g1v0001900-LC"
"LotjaGi1g1v0002000"	"LotjaGi1g1v0002000"					"LotjaGi1g1v0002000"	"LotjaGi1g1v0002000"
"LotjaGi1g1v0002100"	"LotjaGi1g1v0002100"					"LotjaGi1g1v0002100"	"LotjaGi1g1v0002100"
"LotjaGi1g1v0002200"	"LotjaGi1g1v0002200"					"LotjaGi1g1v0002200"	"LotjaGi1g1v0002200"
"LotjaGi1g1v0002300"	"LotjaGi1g1v0002300"					"LotjaGi1g1v0002300"	"LotjaGi1g1v0002300"
"LotjaGi1g1v0002400"	"LotjaGi1g1v0002400"					"LotjaGi1g1v0002400"	"LotjaGi1g1v0002400"
"LotjaGi1g1v0002500"	"LotjaGi1g1v0002500"					"LotjaGi1g1v0002500"	"LotjaGi1g1v0002500"
"LotjaGi1g1v0002600"	"LotjaGi1g1v0002600"					"LotjaGi1g1v0002600"	"LotjaGi1g1v0002600"
"LotjaGi1g1v0002800"	"LotjaGi1g1v0002800"					"LotjaGi1g1v0002800"	"LotjaGi1g1v0002800"
"LotjaGi1g1v0002900-LC"	"LotjaGi1g1v0002900-LC"					"LotjaGi1g1v0002900-LC"	"LotjaGi1g1v0002900-LC"
"LotjaGi1g1v0003000"	"LotjaGi1g1v0003000"					"LotjaGi1g1v0003000"	"LotjaGi1g1v0003000"
"LotjaGi1g1v0003100"	"LotjaGi1g1v0003100"					"LotjaGi1g1v0003100"	"LotjaGi1g1v0003100"
"LotjaGi1g1v0003400-LC"	"LotjaGi1g1v0003400-LC"					"LotjaGi1g1v0003400-LC"	"LotjaGi1g1v0003400-LC"
"LotjaGi1g1v0003600"	"LotjaGi1g1v0003600"					"LotjaGi1g1v0003600"	"LotjaGi1g1v0003600"
"LotjaGi1g1v0003800-LC"	"LotjaGi1g1v0003800-LC"					"LotjaGi1g1v0003800-LC"	"LotjaGi1g1v0003800-LC"
"LotjaGi1g1v0003900"	"LotjaGi1g1v0003900"					"LotjaGi1g1v0003900"	"LotjaGi1g1v0003900"
"LotjaGi1g1v0004000"	"LotjaGi1g1v0004000"					"LotjaGi1g1v0004000"	"LotjaGi1g1v0004000"
"LotjaGi1g1v0004100"	"LotjaGi1g1v0004100"					"LotjaGi1g1v0004100"	"LotjaGi1g1v0004100"
"LotjaGi1g1v0004200"	"LotjaGi1g1v0004200"					"LotjaGi1g1v0004200"	"LotjaGi1g1v0004200"
"LotjaGi1g1v0004300"	"LotjaGi1g1v0004300"					"LotjaGi1g1v0004300"	"LotjaGi1g1v0004300"
"LotjaGi1g1v0004400"	"LotjaGi1g1v0004400"					"LotjaGi1g1v0004400"	"LotjaGi1g1v0004400"
"LotjaGi1g1v0004500"	"LotjaGi1g1v0004500"					"LotjaGi1g1v0004500"	"LotjaGi1g1v0004500"
"LotjaGi1g1v0004600"	"LotjaGi1g1v0004600"					"LotjaGi1g1v0004600"	"LotjaGi1g1v0004600"
"LotjaGi1g1v0004700"	"LotjaGi1g1v0004700"					"LotjaGi1g1v0004700"	"LotjaGi1g1v0004700"
"LotjaGi1g1v0004800"	"LotjaGi1g1v0004800"					"LotjaGi1g1v0004800"	"LotjaGi1g1v0004800"
"LotjaGi1g1v0004900"	"LotjaGi1g1v0004900"					"LotjaGi1g1v0004900"	"LotjaGi1g1v0004900"
"LotjaGi1g1v0005100"	"LotjaGi1g1v0005100"					"LotjaGi1g1v0005100"	"LotjaGi1g1v0005100"
"LotjaGi1g1v0005200"	"LotjaGi1g1v0005200"					"LotjaGi1g1v0005200"	"LotjaGi1g1v0005200"
"LotjaGi1g1v0005300"	"LotjaGi1g1v0005300"					"LotjaGi1g1v0005300"	"LotjaGi1g1v0005300"
"LotjaGi1g1v0005400"	"LotjaGi1g1v0005400"					"LotjaGi1g1v0005400"	"LotjaGi1g1v0005400"
"LotjaGi1g1v0005500"	"LotjaGi1g1v0005500"					"LotjaGi1g1v0005500"	"LotjaGi1g1v0005500"
"LotjaGi1g1v0005600"	"LotjaGi1g1v0005600"					"LotjaGi1g1v0005600"	"LotjaGi1g1v0005600"
"LotjaGi1g1v0005700"	"LotjaGi1g1v0005700"					"LotjaGi1g1v0005700"	"LotjaGi1g1v0005700"
"LotjaGi1g1v0005900"	"LotjaGi1g1v0005900"					"LotjaGi1g1v0005900"	"LotjaGi1g1v0005900"
"LotjaGi1g1v0006100-LC"	"LotjaGi1g1v0006100-LC"					"LotjaGi1g1v0006100-LC"	"LotjaGi1g1v0006100-LC"
"LotjaGi1g1v0006200"	"LotjaGi1g1v0006200"					"LotjaGi1g1v0006200"	"LotjaGi1g1v0006200"
"LotjaGi1g1v0006500"	"LotjaGi1g1v0006500"					"LotjaGi1g1v0006500"	"LotjaGi1g1v0006500"
"LotjaGi1g1v0006600"	"LotjaGi1g1v0006600"					"LotjaGi1g1v0006600"	"LotjaGi1g1v0006600"
"LotjaGi1g1v0006700"	"LotjaGi1g1v0006700"					"LotjaGi1g1v0006700"	"LotjaGi1g1v0006700"
"LotjaGi1g1v0006800-LC"	"LotjaGi1g1v0006800-LC"					"LotjaGi1g1v0006800-LC"	"LotjaGi1g1v0006800-LC"
"LotjaGi1g1v0006900"	"LotjaGi1g1v0006900"					"LotjaGi1g1v0006900"	"LotjaGi1g1v0006900"
"LotjaGi1g1v0007000-LC"	"LotjaGi1g1v0007000-LC"					"LotjaGi1g1v0007000-LC"	"LotjaGi1g1v0007000-LC"
"LotjaGi1g1v0007200-LC"	"LotjaGi1g1v0007200-LC"					"LotjaGi1g1v0007200-LC"	"LotjaGi1g1v0007200-LC"
"LotjaGi1g1v0007300-LC"	"LotjaGi1g1v0007300-LC"					"LotjaGi1g1v0007300-LC"	"LotjaGi1g1v0007300-LC"
"LotjaGi1g1v0007400"	"LotjaGi1g1v0007400"					"LotjaGi1g1v0007400"	"LotjaGi1g1v0007400"
"LotjaGi1g1v0007500"	"LotjaGi1g1v0007500"					"LotjaGi1g1v0007500"	"LotjaGi1g1v0007500"
"LotjaGi1g1v0007600"	"LotjaGi1g1v0007600"					"LotjaGi1g1v0007600"	"LotjaGi1g1v0007600"
"LotjaGi1g1v0007700"	"LotjaGi1g1v0007700"					"LotjaGi1g1v0007700"	"LotjaGi1g1v0007700"
