"canonical_gene_id"	"feature_id"
"MtrunA17Chr1g0188821"	"MtrunA17Chr1g0188821"
"MtrunA17Chr1g0189021"	"MtrunA17Chr1g0189021"
"MtrunA17Chr1g0189071"	"MtrunA17Chr1g0189071"
"MtrunA17Chr1g0189111"	"MtrunA17Chr1g0189111"
"MtrunA17Chr1g0189421"	"MtrunA17Chr1g0189421"
"MtrunA17Chr1g0190231"	"MtrunA17Chr1g0190231"
"MtrunA17Chr1g0190771"	"MtrunA17Chr1g0190771"
"MtrunA17Chr1g0190801"	"MtrunA17Chr1g0190801"
"MtrunA17Chr1g0190891"	"MtrunA17Chr1g0190891"
"MtrunA17Chr1g0190941"	"MtrunA17Chr1g0190941"
"MtrunA17Chr1g0191031"	"MtrunA17Chr1g0191031"
"MtrunA17Chr1g0191081"	"MtrunA17Chr1g0191081"
"MtrunA17Chr1g0191261"	"MtrunA17Chr1g0191261"
"MtrunA17Chr1g0191411"	"MtrunA17Chr1g0191411"
"MtrunA17Chr1g0191561"	"MtrunA17Chr1g0191561"
"MtrunA17Chr1g0191831"	"MtrunA17Chr1g0191831"
"MtrunA17Chr1g0191921"	"MtrunA17Chr1g0191921"
"MtrunA17Chr1g0191971"	"MtrunA17Chr1g0191971"
"MtrunA17Chr1g0192021"	"MtrunA17Chr1g0192021"
"MtrunA17Chr1g0192101"	"MtrunA17Chr1g0192101"
"MtrunA17Chr1g0192131"	"MtrunA17Chr1g0192131"
"MtrunA17Chr1g0192231"	"MtrunA17Chr1g0192231"
"MtrunA17Chr1g0192371"	"MtrunA17Chr1g0192371"
"MtrunA17Chr1g0192401"	"MtrunA17Chr1g0192401"
"MtrunA17Chr1g0192521"	"MtrunA17Chr1g0192521"
"MtrunA17Chr1g0192611"	"MtrunA17Chr1g0192611"
"MtrunA17Chr1g0192741"	"MtrunA17Chr1g0192741"
"MtrunA17Chr1g0192911"	"MtrunA17Chr1g0192911"
"MtrunA17Chr1g0193001"	"MtrunA17Chr1g0193001"
"MtrunA17Chr1g0193051"	"MtrunA17Chr1g0193051"
"MtrunA17Chr1g0193221"	"MtrunA17Chr1g0193221"
"MtrunA17Chr1g0193441"	"MtrunA17Chr1g0193441"
"MtrunA17Chr1g0193501"	"MtrunA17Chr1g0193501"
"MtrunA17Chr1g0193511"	"MtrunA17Chr1g0193511"
"MtrunA17Chr1g0193641"	"MtrunA17Chr1g0193641"
"MtrunA17Chr1g0193701"	"MtrunA17Chr1g0193701"
"MtrunA17Chr1g0193721"	"MtrunA17Chr1g0193721"
"MtrunA17Chr1g0194891"	"MtrunA17Chr1g0194891"
"MtrunA17Chr1g0194961"	"MtrunA17Chr1g0194961"
"MtrunA17Chr1g0195201"	"MtrunA17Chr1g0195201"
"MtrunA17Chr1g0195461"	"MtrunA17Chr1g0195461"
"MtrunA17Chr1g0195471"	"MtrunA17Chr1g0195471"
"MtrunA17Chr1g0196071"	"MtrunA17Chr1g0196071"
"MtrunA17Chr1g0196551"	"MtrunA17Chr1g0196551"
"MtrunA17Chr1g0196901"	"MtrunA17Chr1g0196901"
"MtrunA17Chr1g0196911"	"MtrunA17Chr1g0196911"
"MtrunA17Chr1g0197101"	"MtrunA17Chr1g0197101"
"MtrunA17Chr1g0197251"	"MtrunA17Chr1g0197251"
"MtrunA17Chr1g0197481"	"MtrunA17Chr1g0197481"
"MtrunA17Chr1g0197491"	"MtrunA17Chr1g0197491"
"MtrunA17Chr1g0197521"	"MtrunA17Chr1g0197521"
"MtrunA17Chr1g0197621"	"MtrunA17Chr1g0197621"
"MtrunA17Chr1g0197641"	"MtrunA17Chr1g0197641"
"MtrunA17Chr1g0197911"	"MtrunA17Chr1g0197911"
"MtrunA17Chr1g0198221"	"MtrunA17Chr1g0198221"
"MtrunA17Chr1g0198681"	"MtrunA17Chr1g0198681"
"MtrunA17Chr1g0199171"	"MtrunA17Chr1g0199171"
"MtrunA17Chr1g0199211"	"MtrunA17Chr1g0199211"
"MtrunA17Chr1g0199711"	"MtrunA17Chr1g0199711"
"MtrunA17Chr1g0199731"	"MtrunA17Chr1g0199731"
"MtrunA17Chr1g0199771"	"MtrunA17Chr1g0199771"
